acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,totalpay,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns,percentPay
1638,CA,94928,Wells,1939,04013053,4,0.3726,-0.99,111,17,73,1,405,06097,3.1,92999,109.6,9.1,10.83449059,18.31362482,33.72273422,37.12915036,15.64706,1339,26.00619,1.99837,1.83511,7.98762,19465,5.42636,541,7.19505,6.17546,20.88705518
1639,TX,77084,Discover,1540,09011972,9,0.3149,-1.16,110,77,4,1,475,48201,4.2,63539,94.9,16.4,18.13170496,22.75718363,26.58484296,32.52626845,37.36998,2041,27.98331,7.34685,4.57956,14.67667,18894,9.26155,867,13.47865,21.81881,30.84415584
1640,FL,32208,Discover,1665,03013326,3,0.5724,-0.56,132,41,79,1,336,12031,3,60121,95.3,14.9,9.500403307,28.05623762,30.93662147,31.5067376,38.09243,2310,33.06779,5.34953,5.50589,16.84387,19652,9.735,1035.5,21.9336,12.14145,20.18018018
1641,SC,29405,Discover,1745,04013264,4,0.4973,-0.7,122,94,6,2,1195,45019,2.8,71755,120.7,13.8,7.114868334,20.98481219,25.16171722,46.73860225,30.12891,1747,29.40791,5.47696,3.27757,18.84058,25364,9.70236,621,17.02716,8.66262,68.48137536
1642,CA,90061,Wells,1109,08000000,8,0.5722,-0.56,106,70,24,3,90,06037,4.9,77356,91.2,14.1,19.95716305,20.39096448,25.60750331,34.04436916,22.26986,1860.5,25.77181,3.16442,2.94676,12.15225,19053,7.82106,743,6.99388,8.96509,8.115419297
1643,CA,91342,Wells_FIB,3189,06012766,6,0.7465,-0.29,130,48,35,1,600,06037,4.9,77356,91.2,14.1,19.95716305,20.39096448,25.60750331,34.04436916,22.26986,1860.5,25.77181,3.16442,2.94676,12.15225,19053,7.82106,743,6.99388,8.96509,18.81467545
1644,MI,49264,Wells,3381,01016189,1,0.4387,-0.82,134,67,51,4,600,26045,4.4,70638,111.3,8.8,5.080717431,26.35946855,38.30928478,30.25052924,25.05814,1431.5,37.00581,3.25798,2.85714,17.7907,19711.5,8.98693,484,15.72674,5.03014,17.74622893
1645,NY,14464,Wells,3512,04013077,4,0.7003,-0.36,92,22,69,1,25,36073,3.8,56140,75.6,16.1,13.01245372,40.59912487,29.15516661,17.2332548,24.06015,1663,42.02172,3.60825,5.09804,18.04511,16378,8.33333,362,6.01504,4.69132,0.711845103
1646,TX,77016,Discover,1700,08012154,8,0.0311,-3.47,130,52,63,1,29,48201,4.2,63539,94.9,16.4,18.13170496,22.75718363,26.58484296,32.52626845,37.36998,2041,27.98331,7.34685,4.57956,14.67667,18894,9.26155,867,13.47865,21.81881,1.705882353
1647,FL,33319,Discover,5957,07921853,7,0.6644,-0.41,142,62,49,1,155,12011,2.9,65536,103.9,12.8,10.03151306,26.84051713,28.84405544,34.28391437,29.07147,2156,30.35327,3.56541,3.98657,13.99978,21850,8.6729,796,13.82793,12.71383,2.601980863
1648,CA,94585,Bank_Of_Am,1447,04013210,4,0.0054,-5.22,133,17,100,11,1160,06095,4.2,87348,103,10,11.14930279,23.77079873,37.24232619,27.83757229,23.29354,2213,30.47051,2.88612,3.22823,12.11376,18050,7.30435,918.5,9.73315,4.86518,80.1658604
1649,MO,63130,Associates,1263,05012926,5,0.3801,-0.97,131,18,93,2,1022,29189,2.4,72507,117.3,10.5,5.902439305,21.09453852,27.71125738,45.29176479,26.86732,1857,29.8047,5.1843,3.2585,17.69978,22372,8.70647,762,15.63984,5.85666,80.91844814
1650,CA,95337,Wells,2324,05012775,5,0.6746,-0.39,135,99,22,6,125,06077,5.2,79598,93.8,12.3,19.70052806,28.76126398,32.06966521,19.46854275,24.80772,1840,30.6392,3.24091,3.67579,11.9237,15944.5,10.02187,676,8.49954,6.1897,5.378657487
