acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns
5481,KY,42087,Associates,4012,01015440,1,0.3813,-0.96,115,34,62,1,21007,4.8,53491,96.3,14.4,10.7908485,39.23617366,33.86777157,16.10520627,29.92424,1232,21.9697,5,2.3622,12.87879,16978.51829,10.91520085,484.546729,16.28788,4.96104
5482,CA,94801,Wells,2334,05012885,5,0.0100,-4.6,136,6,42,1,06013,3.5,110595,130.4,8.8,10.2561427,17.46950386,28.21818091,44.05617252,17.54391,2001,25.85659,2.76104,2.29576,10.4326,20000,6.6615,835.5,7.62849,4.14515
5483,CA,95828,Wells,1467,02013845,2,0.1902,-1.66,109,46,133,3,06067,3.9,79611,93.8,13,11.93478218,22.01223115,34.05600934,31.99697733,22.09095,2018,27.60174,3.33184,3.08424,13.21636,18245,8.82954,753,8.55482,4.89563
5484,CA,94112,Wells,740,01016595,1,0.8315,-0.18,124,51,117,1,06075,2.5,119776,141.2,11.4,11.219663,11.37337094,17.89020986,59.5167562,11.11815,1572,13.95136,2.44989,1.55919,9.94967,21333,6.36717,580,3.44913,3.10433
5485,CA,95524,Wells,1908,05012926,5,0.9608,-0.04,134,90,103,5,06023,4,53924,63.6,19.4,9.008154346,23.08159676,36.71800885,31.19224005,23.08244,1114.5,24.56392,2.76339,2.92802,12.16248,17959,9.62672,560,10.32258,6.18985
5486,MD,20906,Bank_Of_Am,1906,02013872,2,0.3915,-0.94,98,75,73,1,24031,2.9,112352,124.7,8.5,8.768635991,13.12922828,18.32104305,59.78109267,15.13426,1588,24.02392,2.79045,2.09418,13.52424,25622.5,5.42092,539,5.78173,6.44929
5487,FL,34286,Chase,1338,02013762,2,0.6097,-0.49,137,83,139,2,12115,2.9,71630,113.6,8.6,6.316132467,26.75613794,29.61105309,37.31667651,20.62117,2400,28.87459,1.74096,2.42187,9.53412,22387,7.91694,1089,12.07078,10.31839
5488,CA,92109,Wells,5318,08012255,8,0.9734,-0.03,148,16,27,7,06073,3.4,90756,107,10.7,11.6848286,18.19642779,29.85549373,40.26324989,20.19116,1924,28.30083,2.24266,2.34859,12.17414,19222,6.50241,855,9.18014,6.69465
5489,MA,01085,Discover,3683,04013054,4,0.7915,-0.23,140,44,94,1,25013,4.9,61818,69,17,13.86629257,30.37321583,27.54459634,28.21589525,25.35757,1673,31.38871,3.15085,4.62153,18.50912,18452,8.29844,431,6.12274,3.37664
5490,TX,76357,Bank_Of_Am,2008,03924141,3,0.8059,-0.22,127,94,34,3,48077,3.8,60973,91.1,10.7,7.97751305,34.29259805,34.61384018,23.11604872,38.14815,1775,32.96296,5.26316,8.16327,9.62963,15912.38519,9.816377556,1159,25.18519,14.41929
