"","YEAR","AGE","SEX","DEGREE","REGION","PersIncomeAdj","MARITAL","EDUC","CLASS_","BORN","PRESTG10","SEI10","FINRELA","SATFIN","UNEMP","JOBLOSE","JobFind"
"7800",1977,50,2,0,9,77602.2194504906,3,10,4,1,49,56.9,3,1,1,4,1
"7802",1977,54,2,1,9,77602.2194504906,3,13,3,1,53,69.3,3,2,2,4,2
"7803",1977,39,1,3,9,106006.996920607,1,16,2,1,47,62.7,4,2,2,4,2
"7805",1977,32,2,4,2,28926.5778250951,1,17,3,1,61,80.9,4,1,1,4,2
"7809",1977,27,1,1,9,77602.2194504906,1,14,3,1,44,28.7,4,2,1,2,1
"7810",1977,25,2,0,9,43095.1221641392,3,13,2,1,32,35.8,3,2,2,4,2
"7811",1977,51,2,4,9,206445.555250669,1,18,4,1,72,92.1,4,1,2,4,1
"7816",1977,46,1,1,2,86948.5245931559,1,12,2,1,36,31.1,3,2,2,3,3
"7818",1977,37,1,0,9,607826.645778769,1,12,3,2,36,30.8,3,1,2,3,3
"7820",1977,24,1,3,9,31481.7703407672,5,16,2,1,60,76.3,4,1,2,3,3
"7821",1977,34,1,1,9,94629.0120892061,1,12,2,1,50,46.5,4,2,2,4,1
"7824",1977,24,1,1,9,31481.7703407672,5,12,2,1,60,41.4,3,3,2,4,2
"7825",1977,36,1,1,9,77602.2194504906,1,13,2,1,62,50.4,3,3,2,4,3
"7827",1977,57,1,3,2,39597.3413079848,1,16,2,1,35,20.9,3,3,1,3,2
"7828",1977,36,2,3,9,37228.1693398751,1,17,2,1,61,80.9,3,3,1,4,3
"7834",1977,44,1,1,9,64519.2590918822,1,12,3,1,63,63.1,3,2,2,4,3
"7836",1977,55,2,1,9,64519.2590918822,2,13,2,1,35,34.6,2,2,2,4,3
"7837",1977,45,1,1,9,106006.996920607,1,12,2,1,43,52.4,3,1,2,4,1
"7838",1977,32,1,1,2,97403.0244562738,1,15,3,1,65,79.4,4,2,2,3,2
"7839",1977,55,2,0,9,37228.1693398751,3,8,3,1,28,18.8,3,2,2,4,2
"7841",1977,20,2,1,9,43095.1221641392,5,12,2,1,46,74.6,3,2,1,4,2
"7842",1977,24,1,1,9,64519.2590918822,1,13,2,1,35,24,2,2,1,1,2
"7843",1977,38,2,1,9,11383.7254897413,4,12,2,1,29,20.8,2,2,1,2,3
"7844",1977,29,1,3,9,77602.2194504906,3,16,2,1,45,62.1,2,1,1,4,3
"7846",1977,32,2,3,9,2491.44571989295,1,17,3,1,61,80.9,3,3,1,4,3
"7848",1977,32,2,0,9,31481.7703407672,1,11,1,1,24,17.1,1,3,1,4,1
"7850",1977,28,2,1,9,37228.1693398751,3,14,3,1,47,38.8,2,3,1,4,1
"7852",1977,63,2,1,9,11383.7254897413,4,12,3,1,36,24.6,2,2,2,3,3
"7853",1977,40,1,1,9,121988.989741302,1,13,2,1,43,36.2,3,2,2,3,2
"7854",1977,28,1,1,9,94629.0120892061,1,12,2,1,35,32,3,3,2,4,2
"7856",1977,37,1,2,9,206445.555250669,1,14,3,1,65,79.4,4,1,2,4,3
"7859",1977,21,1,0,9,31481.7703407672,1,10,2,1,25,23.3,4,1,1,4,1
"7860",1977,20,1,1,3,37528.7702905375,5,12,3,1,35,23.7,3,1,2,4,2
"7863",1977,56,1,1,2,97403.0244562738,1,12,2,1,35,25,3,2,2,4,3
"7866",1977,30,1,3,2,86948.5245931559,1,16,2,1,60,76.3,4,2,2,4,2
"7870",1977,20,1,0,2,39597.3413079848,1,8,2,1,39,24.6,3,2,1,4,2
"7872",1977,22,2,1,2,2289.22953612167,5,12,2,1,37,35.1,1,3,2,3,1
"7874",1977,23,2,1,2,39597.3413079848,5,12,3,1,32,35.8,3,1,2,4,2
"7876",1977,23,1,1,3,56185.6732776544,5,12,2,1,25,23.3,3,3,1,4,3
"7879",1977,44,2,0,3,37528.7702905375,2,11,2,1,30,20.5,3,2,1,4,3
"7880",1977,43,1,0,3,82406.3206965793,1,10,2,1,47,38.8,3,2,2,3,3
"7881",1977,20,1,1,3,27415.4490839627,5,12,2,1,27,27.7,3,2,2,4,3
"7883",1977,22,1,1,3,82406.3206965793,1,12,2,1,38,42.8,3,2,1,4,3
"7886",1977,27,1,2,3,32419.6184007108,1,17,2,1,74,84.5,2,2,1,4,2
"7887",1977,40,2,0,3,9913.3544007108,1,11,2,1,35,31.6,3,2,2,3,3
"7888",1977,27,1,1,3,27415.4490839627,1,12,2,1,34,34.7,2,3,1,4,2
"7891",1977,41,1,1,3,45022.5263402932,1,10,2,1,63,63.1,3,1,1,4,2
"7892",1977,33,1,1,3,45022.5263402932,1,12,2,1,35,32,3,2,1,2,2
"7898",1977,57,2,1,3,27415.4490839627,1,12,2,1,35,26.8,2,2,2,4,3
"7899",1977,24,1,1,3,118730.290981786,1,12,2,1,49,46,3,3,1,3,2
"7901",1977,26,2,1,3,45022.5263402932,5,15,2,1,64,84.2,3,1,2,4,1
"7903",1977,22,2,1,3,32419.6184007108,1,12,2,1,35,25,3,1,2,3,3
"7905",1977,27,2,1,3,32419.6184007108,5,13,2,1,24,34.8,3,2,1,4,2
"7907",1977,45,1,1,3,56185.6732776544,1,12,3,1,35,26.8,3,1,2,4,2
"7908",1977,33,2,1,3,27415.4490839627,1,12,2,1,39,20.8,3,2,2,4,2
"7909",1977,40,1,3,3,92314.6759271435,1,16,3,1,70,86.1,3,2,2,3,1
"7911",1977,49,1,1,3,56185.6732776544,1,12,1,1,38,42.8,2,3,2,4,3
"7917",1977,31,2,1,3,17482.0980026655,1,12,3,1,50,32.6,3,1,1,4,3
"7918",1977,19,2,1,3,9913.3544007108,5,12,3,1,31,19.6,3,1,1,3,3
"7919",1977,42,1,1,3,67578.7820417592,1,12,2,1,50,46.5,3,1,2,4,2
"7920",1977,45,1,0,3,67578.7820417592,1,10,3,1,63,81.6,4,1,2,4,1
"7921",1977,58,2,1,3,37528.7702905375,1,15,2,1,64,84.2,4,1,2,4,1
"7922",1977,46,1,0,3,67578.7820417592,1,10,2,1,40,35.8,3,1,2,2,3
"7923",1977,58,1,0,3,82406.3206965793,2,8,3,1,38,28.4,3,1,2,4,3
"7928",1977,22,2,2,3,32419.6184007108,5,14,2,1,47,38.8,3,1,1,4,3
"7931",1977,48,1,1,3,67578.7820417592,1,12,2,1,24,17.1,2,2,2,3,3
"7932",1977,38,2,1,3,22511.2631701466,3,12,3,1,47,38.8,3,2,2,4,2
"7933",1977,59,1,1,3,67578.7820417592,1,12,2,1,40,35.8,3,1,2,3,3
"7935",1977,54,1,1,3,67578.7820417592,1,13,2,1,38,28.4,3,1,1,2,3
"7939",1977,62,2,1,3,32419.6184007108,1,14,2,1,69,46.6,2,2,2,4,3
"7940",1977,40,1,1,3,67578.7820417592,1,12,2,1,46,51.9,3,1,2,4,1
"7942",1977,50,2,1,3,27415.4490839627,1,12,2,1,38,25.7,2,2,2,4,2
"7944",1977,28,1,0,5,33799.9347787611,1,10,2,1,22,14.8,3,2,2,3,2
"7945",1977,34,2,0,5,18226.4258938053,1,10,2,1,32,13.2,2,2,1,2,3
"7947",1977,42,1,0,5,46939.4313982301,1,9,2,1,24,20.7,2,2,1,3,3
"7948",1977,33,2,0,5,18226.4258938053,1,6,3,1,32,26.2,4,3,2,4,1
"7949",1977,24,2,1,3,67578.7820417592,5,13,2,1,64,84.2,4,1,2,3,2
"7950",1977,55,2,0,5,10335.4310973451,1,10,2,1,31,19.6,2,3,2,4,1
"7951",1977,35,1,1,5,39126.6168672566,1,11,2,1,27,27.7,3,2,1,3,3
"7953",1977,42,2,0,5,28582.7050619469,3,10,1,1,27,27.7,2,1,1,2,3
"7954",1977,27,2,1,5,18226.4258938053,3,12,2,1,31,21.1,1,3,2,4,3
"7955",1977,24,1,0,5,23469.715699115,4,9,2,1,28,25.2,2,1,2,4,3
"7956",1977,41,1,0,5,58577.866920354,1,7,2,1,48,35.2,3,3,1,4,3
"7957",1977,34,1,1,5,23469.715699115,1,12,2,1,50,57.4,2,2,1,2,3
"7959",1977,26,1,1,5,10335.4310973451,1,12,2,1,34,17,1,3,1,4,3
"7961",1977,42,1,0,5,46939.4313982301,1,10,2,1,35,25,3,2,2,4,2
"7964",1977,33,1,1,7,96245.1188318584,1,12,2,1,33,46.6,3,2,2,3,3
"7965",1977,44,2,1,7,23469.715699115,1,12,2,1,45,38.3,4,1,2,3,2
"7966",1977,36,1,1,7,96245.1188318584,1,15,3,1,31,48.8,4,1,2,4,2
"7969",1977,36,1,1,7,58577.866920354,1,12,2,1,49,45.4,3,3,1,3,3
"7970",1977,32,1,0,7,33799.9347787611,1,8,2,1,38,28.4,2,2,2,4,1
"7972",1977,21,2,1,7,23469.715699115,1,13,3,1,31,39.7,3,1,2,4,2
"7977",1977,33,1,0,6,23469.715699115,1,11,3,1,35,24,2,1,2,3,1
"7979",1977,21,2,1,6,10335.4310973451,5,12,3,1,45,38.3,3,2,1,4,2
"7981",1977,54,1,0,6,18226.4258938053,5,0,2,1,44,28.7,3,1,1,4,2
"7983",1977,42,1,0,6,85914.8997522124,1,8,2,1,42,31,4,1,1,2,3
"7984",1977,41,1,2,6,85914.8997522124,1,14,3,1,31,39.7,4,1,2,4,2
"7985",1977,31,2,4,6,18226.4258938053,1,17,3,1,31,39.7,4,2,2,3,2
"7986",1977,28,1,1,6,58577.866920354,1,12,2,1,35,32,3,3,1,4,1
"7987",1977,38,2,4,6,70456.0552566372,1,17,3,1,61,80.9,3,1,2,4,1
"7988",1977,26,1,4,6,46939.4313982301,1,18,2,2,64,91.9,4,2,1,4,2
"7989",1977,23,2,1,6,18226.4258938053,1,11,2,1,33,44.9,2,3,1,1,2
"7990",1977,58,2,0,6,28582.7050619469,2,6,2,1,22,14.8,3,1,2,3,3
"7991",1977,41,1,1,6,70456.0552566372,1,12,2,1,35,32,3,2,2,4,3
"7992",1977,45,1,0,6,46939.4313982301,1,8,2,1,35,23.7,3,3,2,4,2
"7993",1977,30,1,0,3,45022.5263402932,1,6,2,2,44,28.7,2,2,2,3,2
"7994",1977,43,2,0,6,28582.7050619469,1,8,2,1,42,26.5,2,3,2,2,3
"7995",1977,47,1,0,6,70456.0552566372,3,8,2,1,35,32,2,3,2,4,2
"7996",1977,52,2,1,6,33799.9347787611,1,12,2,1,32,13.2,3,1,2,4,3
"7997",1977,28,1,1,6,58577.866920354,1,12,3,1,32,26.2,3,2,2,4,1
"7999",1977,22,1,1,8,2491.44571989295,5,13,3,1,30,36.7,3,1,1,3,2
"8003",1977,26,2,0,8,25850.1845084746,1,11,3,1,53,69.3,3,2,1,3,2
"8004",1977,21,2,1,3,9913.3544007108,5,13,2,1,31,19.6,1,3,1,4,3
"8007",1977,28,2,1,8,11383.7254897413,1,12,3,1,31,39.7,3,2,2,4,2
"8008",1977,53,1,1,8,121988.989741302,1,12,1,1,53,69.3,3,1,2,3,3
"8009",1977,40,2,1,8,64519.2590918822,1,12,2,1,40,49.4,3,1,2,3,3
"8010",1977,66,1,1,8,94629.0120892061,1,12,3,1,50,46.5,4,1,2,4,3
"8014",1977,41,1,1,8,94629.0120892061,1,12,2,1,46,39.9,3,2,2,4,3
"8015",1977,57,2,1,1,71303.6978555133,5,12,3,1,53,69.3,3,2,2,4,3
"8019",1977,21,1,1,8,11383.7254897413,5,12,2,1,22,17.5,3,2,1,2,3
"8020",1977,46,2,1,8,25850.1845084746,1,13,3,1,37,35.1,3,3,2,4,1
"8021",1977,45,2,0,8,2491.44571989295,1,11,3,1,35,31.6,4,3,1,4,3
"8022",1977,49,2,1,8,31481.7703407672,1,12,2,1,40,33.4,3,2,2,4,1
"8033",1977,33,2,1,9,37228.1693398751,1,14,3,1,47,38.8,5,2,2,3,1
"8038",1977,27,1,4,3,56185.6732776544,5,16,3,1,72,86.6,4,2,2,4,2
"8041",1977,49,1,0,3,56185.6732776544,1,8,2,1,45,38.8,2,2,2,3,3
"8044",1977,39,2,1,3,56185.6732776544,1,12,3,1,46,52,3,2,1,4,3
"8046",1977,34,2,1,3,22511.2631701466,5,12,2,1,48,24.2,1,2,1,4,2
"8048",1977,39,1,0,3,56185.6732776544,3,8,2,1,29,20.8,3,3,1,4,3
"8050",1977,24,2,1,3,56185.6732776544,1,12,2,1,39,38.1,3,3,1,3,3
"8055",1977,20,2,1,3,9913.3544007108,5,12,2,1,50,38.3,3,2,1,4,2
"8057",1977,49,1,3,3,179780.156812084,1,16,3,1,65,85.2,4,2,2,4,1
"8059",1977,36,1,3,3,82406.3206965793,1,16,2,1,59,77.7,3,2,2,4,2
"8061",1977,52,1,0,4,82406.3206965793,1,8,2,1,24,21,3,1,2,4,2
"8064",1977,50,1,1,4,45022.5263402932,1,12,2,1,36,31.1,3,2,2,4,3
"8065",1977,27,2,1,4,9913.3544007108,1,12,2,1,31,19.6,2,2,2,3,2
"8067",1977,24,1,1,4,56185.6732776544,1,12,3,1,42,35.3,3,2,2,4,2
"8069",1977,24,1,0,4,32419.6184007108,1,11,2,1,40,28.3,2,3,1,3,2
"8070",1977,55,1,1,4,56185.6732776544,1,12,2,1,46,39.9,1,3,2,2,1
"8078",1977,56,1,0,4,179780.156812084,1,8,2,1,46,39.9,3,1,2,4,1
