PlayerNumber	 Age 	 FedExCupPoints 	 Money 	 Round1Score 	 Round2Score 	 Round3Score 	 Round4Score 	 TotalStrokes 	 AverageDrive 	Drive_rank	 Percent_Birdie_when_GIR 	 Percent_Fairways 	 Percent_GIR 	 Putt_round 	 Percent_10foot 	 Percent_Outside10 
28089	23	59.1	"126,420.27"	70.5	69.25	69.13	70.38	279.25	286.16	67	0.35	56.06	65.28	28.03	86.83	20.12
28118	29	31	"28,929.29"	69.5	72	72	70	283.5	281.73	116	0.3	54.46	65.97	28.88	89.18	13.04
28158	30.63	105.95	"212,202.06"	68.75	68.75	69.75	71.75	279	283.97	93	0.32	64.02	68.58	32.38	86.7	18.5
28237	21.33	 -   	"129,428.67"	69	70.67	72.33	72.33	284.33	289.75	33	0.34	60.12	62.96	28.5	85.87	18.67
28258	25	 -   	"50,500.00"	73	70	73	75	291	273.41	205.5	0.22	55.36	56.94	28.5	90.41	14.63
28307	27	37.5	"36,315.00"	72	70	72	72	286	284.02	92	0.3	58.62	66.67	44.38	83.58	18.59
28308	32	 -   	"13,542.00"	67	72	70	71	280	296.84	7	0.35	42.86	63.89	28.75	93.06	11.63
28455	30	 -   	"11,275.00"	69	70	73	74	286	274.73	197	0.19	69.23	73.61	31.5	87.01	10.2
28475	27.1	34.58	"61,345.00"	69.4	71.4	71.4	70.9	283.1	286.84	62	0.3	59.11	62.64	28.48	87.8	16.18
28486	27.29	20.53	"22,168.47"	69.71	69.14	70.86	72.71	282.43	283.3	102	0.28	56.56	63.89	33.07	88.9	19.72
28620	28.67	21.83	"21,910.19"	70	68.67	71.33	70	280	271.87	219.5	0.27	76.79	67.13	29.08	88.4	15.74
28679	33	19.38	"27,877.46"	69.6	72.2	72	74.2	288	282.38	111	0.31	55.71	63.89	30.8	87.4	19.14
29221	25	94.21	"188,801.74"	69.64	68.55	69.36	69.64	277.18	285.69	69	0.35	63.25	68.06	28.41	87.1	16.38
29222	28	 -   	"12,780.00"	71	75	72	76	294	265.11	260	0.21	69.64	59.72	30	89.04	10.64
29223	24	 -   	"66,262.50"	72	70	70.5	71.5	284	279.84	139	0.28	61.33	65.97	44.13	83.5	21.12
29289	24	 -   	"43,000.00"	72	70	79	72	293	292.52	18	0.39	44.64	61.11	28	91.04	22.22
29420	24	23.97	"27,093.80"	72	70	72.67	73.67	288.33	285.49	73.5	0.27	54.17	66.2	29.17	87.32	12.37
29461	23	11	"12,876.00"	69	70	75	75	289	289.14	37	0.23	48.21	59.72	38.67	84.75	14.29
29478	26.67	21	"19,643.33"	70.67	68.67	73	73	285.33	278.48	155	0.25	65.39	54.17	37.67	84.8	10.66
29518	27.5	75.6	"146,010.41"	71.3	68.7	72.4	70.3	282.7	284.2	89	0.32	64.29	66.39	29.93	89.49	13.4
29718	25	40.23	"78,248.34"	71.29	68.71	71.29	71.29	282.57	286.58	63	0.34	47.69	62.7	29.27	88.22	15.37
29720	28	29	"21,840.00"	75	65	70	70	280	287.48	55	0.27	66.07	72.22	30.25	84.42	11.36
29910	35	36.09	"45,950.37"	70.55	70	70.09	71.09	281.73	279.87	138	0.29	62.55	64.39	29.13	88.89	17.79
30110	23	25.96	"29,082.71"	70.22	71	71	73.33	285.56	288.98	39	0.29	57.1	67.44	34.25	84.37	12.61
